 param nb_n := 12; #number of nodes


 set A:= 
	 1 2
	 2 1
	 2 5
	 5 2
	 2 6
	 6 2
	 2 12
	 12 2
	 3 6
	 6 3
	 3 9
	 9 3
	 4 7
	 7 4
	 4 10
	 10 4
	 4 11
	 11 4
	 5 7
	 7 5
	 5 8
	 8 5
	 6 7
	 7 6
	 8 10
	 10 8
	 9 12
	 12 9
	 10 11
	 11 10
;

 param u:= 200;



 param T:= 13;
 param d:=
1	333
2	1713
3	1713
4	1357
5	2963
6	1328
7	502
8	2404
9	1204
10	427
11	242
12	0
;

 param t:=
 1 2 6.092091
 2 1 1.898731
 2 5 9.218921
 5 2 9.571557
 2 6 1.057258
 6 2 7.141062
 2 12 5.515321
 12 2 2.631351
 3 6 3.496042
 6 3 4.072466
 3 9 6.652117
 9 3 5.758072
 4 7 9.420216
 7 4 3.635246
 4 10 0.030888
 10 4 7.555983
 4 11 4.501026
 11 4 1.701219
 5 7 7.877481
 7 5 8.378084
 5 8 5.901661
 8 5 2.030928
 6 7 2.536388
 7 6 5.323393
 8 10 1.667483
 10 8 0.271418
 9 12 3.327088
 12 9 8.059470
 10 11 6.405158
 11 10 7.543746
;

 param:		 c 	 cap := 
1 	 73 	 6584 
2 	 44 	 3968 
3 	 95 	 8568 
4 	 98 	 8838 
5 	 38 	 3427 
6 	 80 	 7215 
7 	 69 	 6223 
8 	 49 	 4419 
9 	 55 	 4960 
10 	 59 	 5321 
11 	 77 	 6944 
12 	 71 	 6403 ;
 
 param g := 
 1 	  2 	 5 
 2 	  1 	 3 
 2 	  5 	 2 
 5 	  2 	 5 
 2 	  6 	 3 
 6 	  2 	 2 
 2 	  12 	 5 
 12 	  2 	 5 
 3 	  6 	 4 
 6 	  3 	 2 
 3 	  9 	 3 
 9 	  3 	 4 
 4 	  7 	 2 
 7 	  4 	 2 
 4 	  10 	 3 
 10 	  4 	 5 
 4 	  11 	 4 
 11 	  4 	 5 
 5 	  7 	 3 
 7 	  5 	 2 
 5 	  8 	 4 
 8 	  5 	 3 
 6 	  7 	 3 
 7 	  6 	 4 
 8 	  10 	 3 
 10 	  8 	 5 
 9 	  12 	 4 
 12 	  9 	 5 
 10 	  11 	 2 
 11 	  10 	 3 
;
