
data;

param n := 40;

param : E  : t :=
	1 2   5.219
	1 8   5.956
	1 10   1.298
	1 11   4.933
	1 14   4.414
	1 16   8.134
	1 17   8.784
	1 18   4.040
	1 19   3.129
	1 20   2.583
	1 21   5.059
	1 24   1.229
	1 28   4.265
	1 30   4.340
	1 31   3.327
	1 32   1.974
	1 34   3.904
	1 35   8.697
	1 36   1.809
	1 38   7.101
	1 39   1.605
	2 5   6.206
	2 6   9.296
	2 9   8.662
	2 10   8.918
	2 13   5.435
	2 15   6.487
	2 17   8.876
	2 18   6.188
	2 19   7.098
	2 22   6.511
	2 24   1.671
	2 27   9.607
	2 28   2.511
	2 31   8.033
	2 32   2.785
	2 37   3.271
	2 39   5.214
	2 40   1.174
	3 4   5.201
	3 5   3.301
	3 7   4.383
	3 9   6.044
	3 10   8.681
	3 11   8.836
	3 14   6.570
	3 16   2.352
	3 17   8.020
	3 18   7.472
	3 19   6.705
	3 20   1.057
	3 21   6.350
	3 22   1.688
	3 24   5.093
	3 27   1.748
	3 28   5.831
	3 30   5.501
	3 35   2.086
	3 36   4.686
	3 37   8.384
	3 40   5.791
	4 6   8.208
	4 7   5.594
	4 10   8.804
	4 16   2.719
	4 19   3.815
	4 22   2.118
	4 25   6.751
	4 26   8.553
	4 28   3.032
	4 30   7.212
	4 33   6.192
	4 34   9.473
	4 36   8.968
	4 37   8.621
	4 38   3.448
	5 7   8.016
	5 8   6.320
	5 11   3.828
	5 12   1.965
	5 14   8.793
	5 16   5.889
	5 17   1.440
	5 21   7.797
	5 22   7.188
	5 24   5.931
	5 27   1.857
	5 30   9.528
	5 32   5.255
	5 33   1.994
	5 34   9.233
	5 35   3.342
	5 36   7.122
	5 38   3.273
	5 39   4.432
	5 40   6.960
	6 9   2.835
	6 10   4.806
	6 11   6.361
	6 14   7.590
	6 15   8.870
	6 16   3.165
	6 18   1.234
	6 19   7.166
	6 21   2.829
	6 26   2.424
	6 27   1.526
	6 30   4.624
	6 31   7.554
	6 32   2.630
	6 37   3.497
	6 39   7.830
	7 9   5.230
	7 10   5.412
	7 11   8.839
	7 17   1.468
	7 18   4.968
	7 20   8.176
	7 25   7.499
	7 26   7.153
	7 27   6.636
	7 33   9.228
	7 35   3.174
	7 36   7.383
	7 37   7.294
	7 38   8.997
	8 10   9.620
	8 11   4.808
	8 12   4.783
	8 13   5.844
	8 14   8.942
	8 22   6.185
	8 23   2.849
	8 24   3.945
	8 26   4.065
	8 27   4.384
	8 28   2.050
	8 29   6.525
	8 32   5.954
	8 34   8.696
	8 35   7.912
	8 36   2.302
	8 39   8.386
	9 10   8.058
	9 11   3.841
	9 12   1.827
	9 15   3.392
	9 22   8.293
	9 23   7.554
	9 24   2.122
	9 25   6.051
	9 26   7.027
	9 30   7.116
	9 31   1.172
	9 33   7.192
	9 34   7.177
	9 36   2.332
	9 38   1.120
	10 11   3.989
	10 13   9.035
	10 15   8.006
	10 16   8.890
	10 17   3.955
	10 19   2.736
	10 20   5.603
	10 21   4.198
	10 22   3.293
	10 24   9.698
	10 25   5.200
	10 28   8.408
	10 29   5.390
	10 31   5.030
	10 32   8.833
	10 35   9.619
	10 36   8.071
	10 37   1.579
	10 40   4.965
	11 13   8.573
	11 16   1.873
	11 18   1.031
	11 19   2.968
	11 20   5.180
	11 22   1.478
	11 23   2.310
	11 24   4.118
	11 29   8.398
	11 32   7.503
	11 35   5.426
	11 40   9.200
	12 13   1.133
	12 18   8.110
	12 20   5.037
	12 22   9.299
	12 24   1.519
	12 25   8.762
	12 26   7.334
	12 27   1.923
	12 32   8.376
	12 37   9.425
	12 40   4.492
	13 14   1.915
	13 15   8.777
	13 16   7.439
	13 20   2.621
	13 21   7.685
	13 25   3.254
	13 26   8.910
	13 28   8.444
	13 30   8.224
	13 31   3.496
	13 32   9.452
	13 34   6.760
	13 36   1.628
	13 37   8.829
	14 15   5.595
	14 16   9.500
	14 17   5.516
	14 20   2.544
	14 27   7.172
	14 29   6.771
	14 31   8.571
	14 32   8.542
	14 34   7.125
	14 35   2.185
	14 37   8.058
	14 38   5.875
	14 39   6.721
	15 16   4.250
	15 19   7.082
	15 20   7.881
	15 26   4.373
	15 36   6.741
	15 37   9.001
	15 39   3.465
	15 40   2.784
	16 17   2.983
	16 18   5.183
	16 20   2.000
	16 21   5.632
	16 22   9.390
	16 23   2.422
	16 24   6.659
	16 25   8.975
	16 27   1.005
	16 28   9.634
	16 31   3.361
	16 33   1.086
	16 35   2.407
	16 37   3.232
	16 38   6.049
	17 18   8.548
	17 19   3.064
	17 20   5.187
	17 23   1.057
	17 24   8.675
	17 32   9.246
	17 33   4.520
	17 35   6.114
	17 37   4.105
	18 21   8.132
	18 23   4.142
	18 30   7.492
	18 33   7.332
	18 34   1.738
	18 37   2.098
	18 39   8.925
	18 40   4.546
	19 20   1.518
	19 22   6.784
	19 27   7.329
	19 28   2.064
	19 34   6.944
	19 35   5.297
	19 36   5.174
	19 37   9.508
	20 23   2.399
	20 26   4.714
	20 29   6.985
	20 30   5.370
	20 32   6.003
	20 35   2.464
	20 36   2.927
	20 38   2.296
	20 40   9.057
	21 24   7.332
	21 25   2.667
	21 26   1.823
	21 27   2.626
	21 29   4.360
	21 30   8.872
	21 31   3.085
	21 32   8.934
	21 33   8.200
	21 35   3.728
	21 40   5.598
	22 26   3.415
	22 29   3.300
	22 30   1.784
	22 32   8.579
	22 33   1.693
	22 36   2.633
	22 40   6.769
	23 28   7.504
	23 29   6.862
	23 35   5.196
	23 36   8.985
	23 39   5.095
	24 28   5.042
	24 30   7.974
	24 31   9.500
	24 32   9.370
	24 33   7.225
	24 35   3.972
	24 37   7.899
	24 39   8.907
	25 31   8.908
	25 33   2.491
	25 34   8.439
	25 35   9.567
	25 37   8.192
	25 38   1.702
	26 27   4.414
	26 28   4.732
	26 30   8.393
	26 35   7.721
	26 36   3.519
	26 37   2.353
	26 39   3.734
	27 28   4.594
	27 29   7.564
	27 30   7.139
	27 31   6.289
	27 32   1.225
	27 33   6.963
	27 40   4.953
	28 29   7.771
	28 30   4.502
	28 31   2.920
	28 35   1.280
	28 36   5.327
	28 39   8.703
	29 30   2.781
	29 31   3.138
	29 32   3.586
	29 36   9.540
	29 37   7.025
	30 31   4.209
	30 33   4.237
	30 34   3.368
	30 36   5.076
	30 37   2.303
	30 38   6.802
	31 33   7.778
	31 35   7.550
	31 37   2.115
	31 38   6.508
	31 40   2.943
	32 35   8.269
	32 36   2.460
	32 39   3.782
	32 40   6.220
	33 34   3.215
	33 37   4.598
	33 39   4.505
	34 35   8.020
	34 39   8.359
	35 36   9.055
	35 38   1.379
	35 39   2.476
	36 37   8.273
	37 39   5.839
	37 40   7.568
	38 39   9.815
	38 40   2.956
	39 40   3.948
;
 param T:= 3;
 param c:=
1	23
2	15
3	19
4	9
5	19
6	23
7	11
8	11
9	23
10	15
11	23
12	25
13	17
14	11
15	7
16	35
17	13
18	19
19	15
20	29
21	13
22	23
23	19
24	21
25	13
26	11
27	27
28	17
29	7
30	11
31	17
32	19
33	17
34	11
35	21
36	21
37	17
38	21
39	13
40	15
;
